№,ИНН,Наименование организации,Полное наименование организации,Статус СПАРК,Статус внутренний,Статус ИТОГ,Дата добавления в реестр,Юридический адрес,Адрес производства,Адрес дополнительной площадки,latitude,longitude,Основная отрасль,Подотрасль (Основная),Дополнительная отрасль,Подотрасль (Дополнительная),Отраслевые презентации,Основной ОКВЭД (СПАРК),Вид деятельности по основному ОКВЭД (СПАРК),Производственный ОКВЭД,Вид деятельности по производственному ОКВЭД,Общие сведения об организации,Размер предприятия (итог),Размер предприятия (итог) 2022,Размер предприятия (по численности),Размер предприятия (по численности) 2022,Размер предприятия (по выручке),Размер предприятия (по выручке) 2022,Дата регистрации,Руководитель,Головная организация,ИНН головной организации,Вид отношения головной организации,Контактные данные руководства,Почта руководства,Контакт сотрудника организации,Номер телефона,Контактные данные ответственного по ЧС,Сайт,Электронная почта,Данные о мерах поддержки,Наличие особого статуса,Площадка итог,Получена поддержка от г. Москвы,Системообразующее предприятие,Статус МСП,То самое,Финансово-экономические показатели,"Выручка предприятия, тыс. руб. 2017","Выручка предприятия, тыс. руб. 2018","Выручка предприятия, тыс. руб. 2019","Выручка предприятия, тыс. руб. 2020","Выручка предприятия, тыс. руб. 2021","Выручка предприятия, тыс. руб. 2022","Выручка предприятия, тыс. руб. 2023","Чистая прибыль (убыток),тыс. руб. 2017","Чистая прибыль (убыток),тыс. руб. 2018","Чистая прибыль (убыток),тыс. руб. 2019","Чистая прибыль (убыток),тыс. руб. 2020","Чистая прибыль (убыток),тыс. руб. 2021","Чистая прибыль (убыток),тыс. руб. 2022","Чистая прибыль (убыток),тыс. руб. 2023","Среднесписочная численность персонала (всего по компании), чел 2017","Среднесписочная численность персонала (всего по компании), чел 2018","Среднесписочная численность персонала (всего по компании), чел 2019","Среднесписочная численность персонала (всего по компании), чел 2020","Среднесписочная численность персонала (всего по компании), чел 2021","Среднесписочная численность персонала (всего по компании), чел 2022","Среднесписочная численность персонала (всего по компании), чел 2023","Среднесписочная численность персонала, работающего в Москве, чел 2017","Среднесписочная численность персонала, работающего в Москве, чел 2018","Среднесписочная численность персонала, работающего в Москве, чел 2019","Среднесписочная численность персонала, работающего в Москве, чел 2020","Среднесписочная численность персонала, работающего в Москве, чел 2021","Среднесписочная численность персонала, работающего в Москве, чел 2022","Среднесписочная численность персонала, работающего в Москве, чел 2023","Фонд оплаты труда всех сотрудников организации, тыс. руб 2017","Фонд оплаты труда всех сотрудников организации, тыс. руб 2018","Фонд оплаты труда всех сотрудников организации, тыс. руб 2019","Фонд оплаты труда всех сотрудников организации, тыс. руб 2020","Фонд оплаты труда всех сотрудников организации, тыс. руб 2021","Фонд оплаты труда всех сотрудников организации, тыс. руб 2022","Фонд оплаты труда всех сотрудников организации, тыс. руб 2023","Средняя з.п. всех сотрудников организации,  тыс.руб. 2017","Средняя з.п. всех сотрудников организации,  тыс.руб. 2018","Средняя з.п. всех сотрудников организации,  тыс.руб. 2019","Средняя з.п. всех сотрудников организации,  тыс.руб. 2020","Средняя з.п. всех сотрудников организации,  тыс.руб. 2021","Средняя з.п. всех сотрудников организации,  тыс.руб. 2022","Средняя з.п. всех сотрудников организации,  тыс.руб. 2023","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2017","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2018","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2019","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2020","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2022","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2023","Налог на прибыль, тыс.руб. 2017","Налог на прибыль, тыс.руб. 2018","Налог на прибыль, тыс.руб. 2019","Налог на прибыль, тыс.руб. 2020","Налог на прибыль, тыс.руб. 2021","Налог на прибыль, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2023"
50,2986099771,ООО «ДыханиеПром»,Общество с ограниченной ответственностью «ДыханиеПром»»,Действует,Проверка,Не в реестре,2023-08-15,"д. Вилюйск, пер. Клары Цеткин, д. 762 к. 20, 336884","д. Вилюйск, пер. Клары Цеткин, д. 762 к. 20, 336884","п. Владикавказ, пр. Папанина, д. 60, 614973",55.799534,37.710625,Химическая промышленность,Комплектующие,Логистика,Ремонт деталей,Есть,20.13,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ДыханиеПром» — промышленное предприятие, действующее с 2017 года.",Малое,Крупное,Крупное,Малое,Малое,Среднее,2017-10-11,Дьячков Гурий Фадеевич,РАО «Тихонов»,9281920454,Холдинг,8 (104) 054-11-52,florentin2014@makdonaldc.com,Калинин Болеслав Харламович,8 (104) 054-11-52,Ксения Никифоровна Воронова,https://npo.ru,florentin2014@makdonaldc.com,Получала грант,Да,Москва,Да,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,1623151,1558021,1741429,1494001,1505939,1597867,1479703,124154,120175,134526,216925,202916,117458,92123,73,76,76,73,87,85,80,70,82,73,66,69,60,59,1511390,1657162,1507518,1538734,1633674,1680994,1844926,720,802,666,595,552,543,540,74044,90770,77925,84224,74932,73704,67396,217319,159941,185591,135905,231916,243196,176408
51,1660460633,ООО «ОчереднойПром»,Общество с ограниченной ответственностью «ОчереднойПром»»,В процессе ликвидации,Заморожена,Не в реестре,2019-04-04,"д. Биробиджан, ш. Правды, д. 4/8 к. 2, 089899","д. Биробиджан, ш. Правды, д. 4/8 к. 2, 089899","п. Зарайск, ш. Тупиковое, д. 70, 632945",55.711295,37.655008,Машиностроение,Сборка оборудования,Переработка,Транспортировка,Есть,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ОчереднойПром» — промышленное предприятие, действующее с 2023 года.",Малое,Малое,Среднее,Среднее,Малое,Малое,2023-06-04,Авдеева Вера Евсеевич,Merlion,1555426027,Дочерняя,8 (743) 490-21-15,fominnaum@ao.biz,Наумов Никон Зиновьевич,8 (743) 490-21-15,Регина Робертовна Фомичева,https://ooo.info,fominnaum@ao.biz,Получала субсидию,Нет,Подмосковье,Да,Да,Крупное,Да,Стабильный рост выручки и численности персонала,3982877,3641835,4123699,3619296,3593637,3196891,3319643,481195,472186,597352,404567,451279,363617,382417,211,201,188,227,232,211,210,187,204,231,231,181,224,204,4051871,4275414,4282242,3803583,3934657,4308824,3779328,1805,1994,1867,1981,1756,1665,1519,217819,176621,168581,158507,157666,158223,154533,456579,530460,442494,216376,196127,229774,390114
52,1819971340,ООО «ДрогнутьПром»,Общество с ограниченной ответственностью «ДрогнутьПром»»,Действует,Проверка,Не в реестре,2020-08-24,"к. Печенга, пер. Короленко, д. 465, 745054","к. Печенга, пер. Короленко, д. 465, 745054","ст. Внуково (метеост.), алл. Чкалова, д. 6/5, 913736",55.787758,37.639116,Химическая промышленность,Производство деталей,Ремонт,Ремонт деталей,Есть,13.2,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ДрогнутьПром» — промышленное предприятие, действующее с 2021 года.",Среднее,Среднее,Среднее,Крупное,Среднее,Малое,2021-02-04,Козлов Кира Григорьевна,Восточная горнорудная компания,2042086420,Филиал,+7 191 485 64 67,jpetuhov@medvedeva.edu,Маргарита Аркадьевна Копылова,+7 191 485 64 67,Ангелина Константиновна Рогова,https://vinogradova.ru,jpetuhov@medvedeva.edu,Получала субсидию,Нет,Москва,Нет,Да,Микро,Нет,Стабильный рост выручки и численности персонала,4024624,4611847,4665951,4246610,3995816,4186527,4438642,521205,440162,435317,437912,509561,442017,480852,194,217,216,256,225,280,270,203,200,213,207,217,205,205,4106454,3667423,3506016,3661999,3457949,3605430,2856181,1852,1897,2108,1943,2263,1986,1698,213213,190005,219435,209417,261351,232868,243581,247123,564508,586881,510441,342539,271044,216477
53,3169056122,ООО «ИнвалидПром»,Общество с ограниченной ответственностью «ИнвалидПром»»,Ликвидирована,Заморожена,Не в реестре,2019-11-19,"п. Соль-Илецк, пер. Котовского, д. 3 стр. 2, 060293","п. Соль-Илецк, пер. Котовского, д. 3 стр. 2, 060293","к. Поярково, ул. Зеленая, д. 3/3 стр. 534, 665743",55.738671,37.547929,Машиностроение,Сборка оборудования,Переработка,Сервис,Есть,25.62,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ИнвалидПром» — промышленное предприятие, действующее с 2017 года.",Среднее,Крупное,Крупное,Среднее,Среднее,Среднее,2017-09-03,Константинов Всемил Семеновна,"ИП «Мельникова, Голубева и Муравьева»",9152128221,Холдинг,+7 534 578 6103,grigorevevstigne@ao.info,Логинова Валентина Александровна,+7 534 578 6103,Нестерова Маргарита Федоровна,https://sharova.ru,grigorevevstigne@ao.info,Получала субсидию,Нет,Москва,Нет,Да,Микро,Да,Стабильный рост выручки и численности персонала,2142798,2241070,2312360,2403037,2656855,2664282,2768353,378693,255759,369248,140432,329199,288136,409673,125,109,113,110,103,116,96,114,126,99,123,115,124,136,2129778,2377889,2484482,2522347,2255276,2467540,2507673,1109,1261,1356,1345,1335,1301,1548,108366,120388,106914,99009,111697,92021,92893,222741,232760,212414,280858,387845,166224,280137
54,3272643775,ООО «ПламяПром»,Общество с ограниченной ответственностью «ПламяПром»»,Ликвидирована,Проверка,В реестре,2019-02-02,"с. Пинега, бул. Парковый, д. 45 к. 6/9, 282417","с. Пинега, бул. Парковый, д. 45 к. 6/9, 282417","клх Нарткала, ул. Минская, д. 4 стр. 7, 549471",55.788518,37.603303,Текстильная промышленность,Комплектующие,Ремонт,Сервис,Нет,28.41,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ПламяПром» — промышленное предприятие, действующее с 2021 года.",Среднее,Крупное,Крупное,Среднее,Малое,Среднее,2021-12-04,Соболева Ювеналий Еремеевич,"РАО «Симонова, Калинина и Пономарева»",9762945083,Дочерняя,+73283096520,kirill_54@ooo.org,Орехова Анжела Руслановна,+73283096520,Прасковья Васильевна Беспалова,https://ooo.ru,kirill_54@ooo.org,Не получала,Нет,Подмосковье,Нет,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,1710065,1868660,2117092,1884814,1972057,1997465,1854870,259708,151583,264892,268272,236005,261348,231844,98,95,82,102,111,89,106,94,89,91,100,85,108,101,1705182,1845489,1476244,1508202,1561870,1386565,1218217,852,866,942,842,738,793,733,89823,94840,86335,96996,82754,80806,88307,155623,108892,241170,201042,177056,96404,112376
55,3899521378,ООО «МеталлПром»,Общество с ограниченной ответственностью «МеталлПром»»,В процессе ликвидации,Активна,Не в реестре,2018-02-13,"с. Верхний Тагил, пер. Блюхера, д. 7/7, 600835","с. Верхний Тагил, пер. Блюхера, д. 7/7, 600835","г. Адлер, бул. Новгородский, д. 55 стр. 71, 210447",55.739893,37.518098,Металлургия,Комплектующие,Логистика,Транспортировка,Есть,13.2,Производство промышленной продукции,16.1,Производство оборудования,"ООО «МеталлПром» — промышленное предприятие, действующее с 2012 года.",Крупное,Крупное,Среднее,Малое,Крупное,Крупное,2012-02-16,Фадеев Тарас Ефимович,Петролеум Трейдинг,2940217134,Дочерняя,8 217 525 0074,mefodiisakov@kornilova.com,Ширяева Нина Валентиновна,8 217 525 0074,Селиван Ильясович Ситников,https://rao.com,mefodiisakov@kornilova.com,Получала грант,Нет,Другой регион,Да,Да,Микро,Нет,Стабильный рост выручки и численности персонала,4564479,5241900,4887139,5274299,5980590,4864843,5066870,399121,595344,414890,527565,780650,731325,595953,258,198,203,262,240,266,245,255,254,241,205,215,226,243,4408725,4448346,4431197,5198367,4954014,4184978,5005008,2506,2272,2226,2575,2507,2170,2596,232071,249226,215258,246109,255749,223334,271800,354839,601726,599735,587793,487872,685366,463562
56,7298942042,ООО «ЗатянутьсяПром»,Общество с ограниченной ответственностью «ЗатянутьсяПром»»,Действует,Заморожена,В реестре,2018-11-22,"с. Горячинск, наб. Монтажников, д. 13 стр. 7, 849926","с. Горячинск, наб. Монтажников, д. 13 стр. 7, 849926","г. Воскресенск, алл. Крымская, д. 9 к. 75, 208737",55.701797,37.74061,Химическая промышленность,Производство деталей,Логистика,Транспортировка,Нет,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ЗатянутьсяПром» — промышленное предприятие, действующее с 2008 года.",Среднее,Крупное,Среднее,Крупное,Малое,Крупное,2008-12-09,Суханов Олимпий Аверьянович,АО «Иванов-Козлов»,8256557537,Дочерняя,+7 648 909 0100,safonovapraskovja@rao.org,Бурова Валерия Филипповна,+7 648 909 0100,Алексеева Анна Степановна,https://ao.com,safonovapraskovja@rao.org,Не получала,Да,Москва,Нет,Нет,Микро,Да,Стабильный рост выручки и численности персонала,4024385,4826462,4257074,4176201,4212298,3878637,4105250,299119,572103,383075,201421,572723,227560,376822,242,185,198,197,162,190,176,242,240,249,204,184,195,206,4263894,4384395,4520123,3943613,4088377,4338151,4360800,2157,2308,2218,2438,2251,2522,2643,215315,236706,242053,220827,226723,248100,242871,678859,499903,423265,673904,263611,510101,333090
57,8793873887,ООО «ВозмутитьсяПром»,Общество с ограниченной ответственностью «ВозмутитьсяПром»»,Действует,Проверка,В реестре,2019-05-11,"к. Неплюевка, ул. Юности, д. 8/5, 762120","к. Неплюевка, ул. Юности, д. 8/5, 762120","д. Старый Оскол, бул. Бабушкина, д. 79 стр. 1, 771670",55.727708,37.698193,Текстильная промышленность,Производство деталей,Логистика,Ремонт деталей,Есть,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ВозмутитьсяПром» — промышленное предприятие, действующее с 2019 года.",Малое,Крупное,Крупное,Среднее,Среднее,Крупное,2019-11-23,Воронова Мария Бориславович,ИП «Миронова»,2545798406,Дочерняя,8 561 100 2255,rostislav01@oao.biz,Станислав Давидович Пестов,8 561 100 2255,Ширяева Регина Семеновна,https://ooo.biz,rostislav01@oao.biz,Не получала,Да,Подмосковье,Да,Да,Среднее,Да,Стабильный рост выручки и численности персонала,3284363,3389469,2952759,3014895,2987470,3305944,3201823,237857,385957,527886,456734,432414,244769,298405,161,171,188,200,188,215,231,151,158,168,184,177,160,157,3446866,3522089,3467319,3157731,2988383,2994691,3012551,1657,1676,1455,1352,1520,1239,1381,161722,156467,173997,147075,144552,132961,129498,329145,417176,160785,277339,261550,238961,574260
58,2121568215,ООО «ПредоставитьПром»,Общество с ограниченной ответственностью «ПредоставитьПром»»,Ликвидирована,Проверка,Не в реестре,2021-07-05,"с. Кисловодск, пр. Сурикова, д. 2/8, 517016","с. Кисловодск, пр. Сурикова, д. 2/8, 517016","ст. Верхоянск, пер. Свободы, д. 67 стр. 1, 758997",55.709923,37.491052,Химическая промышленность,Комплектующие,Переработка,Ремонт деталей,Нет,13.2,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ПредоставитьПром» — промышленное предприятие, действующее с 2006 года.",Крупное,Среднее,Крупное,Крупное,Малое,Малое,2006-09-18,Родионова Ян Богданович,ЭР-Телеком Холдинг,6196373651,Дочерняя,+7 (877) 217-53-54,jpetuhov@kiselev.org,Андреева Антонина Дмитриевна,+7 (877) 217-53-54,Казаков Кузьма Марсович,https://ooo.biz,jpetuhov@kiselev.org,Получала субсидию,Нет,Другой регион,Нет,Нет,Микро,Нет,Стабильный рост выручки и численности персонала,2661304,2483167,2482174,2367647,2297993,2527797,2711752,134629,226183,341980,276712,269399,199125,432757,123,116,107,93,100,98,84,116,122,102,98,116,106,112,2247983,2165389,2233262,2031967,2046864,1855597,1887403,1161,1276,1232,1182,1276,1243,1168,115568,122772,120077,131221,136186,121484,135342,360144,298986,321582,179056,334346,159077,194578
59,4935462811,ООО «СходитьПром»,Общество с ограниченной ответственностью «СходитьПром»»,Ликвидирована,Проверка,В реестре,2023-03-08,"г. Тутаев, ул. Седова, д. 9/3 стр. 22, 995866","г. Тутаев, ул. Седова, д. 9/3 стр. 22, 995866","с. Нерчинск, пр. Запрудный, д. 96 к. 9, 833394",55.728737,37.63934,Текстильная промышленность,Сборка оборудования,Ремонт,Ремонт деталей,Нет,10.51,Производство промышленной продукции,10.51,Производство оборудования,"ООО «СходитьПром» — промышленное предприятие, действующее с 2020 года.",Крупное,Среднее,Крупное,Малое,Крупное,Среднее,2020-07-25,Соболев Аникита Владленович,Первая тяжеловесная компания,1114752423,Холдинг,8 373 516 09 17,qsobolev@karpov.ru,Василиса Вячеславовна Овчинникова,8 373 516 09 17,Кабанова Лидия Вадимовна,https://ao.org,qsobolev@karpov.ru,Получала субсидию,Нет,Подмосковье,Нет,Нет,Малое,Нет,Стабильный рост выручки и численности персонала,1750023,1621038,1697744,1813356,1600947,1561525,1725263,239038,87024,107172,166092,107256,200963,188639,90,94,83,88,88,85,73,87,89,89,84,92,91,92,1899396,1851069,2079377,1982021,1736469,1665885,1609508,868,963,967,1015,881,849,934,89847,108840,87366,98677,93358,96432,110035,108735,188374,207310,189209,209082,101715,124424
60,1162808124,ООО «УголПром»,Общество с ограниченной ответственностью «УголПром»»,В процессе ликвидации,Проверка,В реестре,2022-05-07,"ст. Бирск, ш. Калинина, д. 18 стр. 8, 983863","ст. Бирск, ш. Калинина, д. 18 стр. 8, 983863","с. Оса, ш. Комарова, д. 404 к. 4/6, 347212",55.795818,37.64205,Текстильная промышленность,Сборка оборудования,Логистика,Сервис,Есть,16.1,Производство промышленной продукции,10.51,Производство оборудования,"ООО «УголПром» — промышленное предприятие, действующее с 2014 года.",Малое,Среднее,Крупное,Крупное,Малое,Среднее,2014-10-02,Крюков Феликс Харлампович,ООО «Зайцева Журавлев»,2472007336,Дочерняя,+7 810 620 0342,vdavidova@drozdov.edu,Пахом Елисеевич Наумов,+7 810 620 0342,Гостомысл Дмитриевич Иванов,https://sergeeva.org,vdavidova@drozdov.edu,Получала субсидию,Да,Другой регион,Да,Да,Крупное,Нет,Стабильный рост выручки и численности персонала,3632482,3406700,3619795,3039109,2731540,2941217,2794461,229500,436514,400235,322264,392015,303799,318405,199,211,187,167,189,181,186,201,183,192,155,165,150,156,4200600,3777715,4052841,4372717,4211870,4615703,3696617,1783,1970,1790,2079,2021,2007,1640,199790,195990,202991,185853,233560,207648,203254,400300,479036,332437,529125,511803,305628,442469
61,8447187410,ООО «ДеловойПром»,Общество с ограниченной ответственностью «ДеловойПром»»,Действует,Заморожена,Не в реестре,2018-12-23,"г. Нижнекамск, алл. Толстого, д. 6, 398780","г. Нижнекамск, алл. Толстого, д. 6, 398780","п. Эльбрус, алл. Вокзальная, д. 7 стр. 964, 085887",55.745263,37.562219,Текстильная промышленность,Производство деталей,Логистика,Сервис,Есть,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ДеловойПром» — промышленное предприятие, действующее с 2010 года.",Малое,Среднее,Крупное,Крупное,Среднее,Крупное,2010-06-04,Тетерин Лора Витальевич,"РАО «Капустин, Зыкова и Большакова»",1416056343,Холдинг,88515832818,nosovaemilija@mazda.info,Копылов Борис Богданович,88515832818,Пестов Тимофей Абрамович,https://ao.biz,nosovaemilija@mazda.info,Получала грант,Нет,Другой регион,Нет,Нет,Малое,Да,Стабильный рост выручки и численности персонала,859184,748457,717872,699414,719623,637619,703556,120104,109826,58582,47307,93508,90433,81876,38,39,43,41,48,49,47,41,48,40,50,47,52,51,793188,890392,1087832,1043560,1117751,1092242,1143633,461,456,421,444,446,477,457,45849,43398,48524,46992,57319,58948,54093,72007,139703,77692,88957,94832,101825,102526
62,8410598437,ООО «ЖестокийПром»,Общество с ограниченной ответственностью «ЖестокийПром»»,Действует,Заморожена,В реестре,2022-04-12,"к. Подольск, пр. Черемушки, д. 6/1 к. 2/9, 919015","к. Подольск, пр. Черемушки, д. 6/1 к. 2/9, 919015","ст. Малоярославец, ул. Детская, д. 7/7 стр. 972, 268424",55.703027,37.672246,Машиностроение,Комплектующие,Логистика,Транспортировка,Нет,13.2,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ЖестокийПром» — промышленное предприятие, действующее с 2013 года.",Малое,Среднее,Крупное,Крупное,Среднее,Крупное,2013-07-28,Титов Епифан Кузьминична,Энергосбытовая компания Восток,2249734561,Дочерняя,8 120 750 11 02,gshubina@zao.org,Агафья Тимуровна Уварова,8 120 750 11 02,Ильина Алина Александровна,https://enel.edu,gshubina@zao.org,Не получала,Нет,Другой регион,Да,Да,Среднее,Да,Стабильный рост выручки и численности персонала,2931159,3443854,3299326,3274509,2951613,3123988,3072571,301261,137186,342871,276356,181759,197109,363336,136,152,143,177,158,169,165,154,137,136,161,161,201,189,2967791,3146767,2799137,2597996,2902596,2458749,2461433,1456,1373,1536,1510,1576,1486,1456,158182,154325,167770,143794,139969,149060,157225,160673,356656,336805,199455,249258,238989,240510
63,7206735763,ООО «УгрозаПром»,Общество с ограниченной ответственностью «УгрозаПром»»,Действует,Активна,В реестре,2020-10-17,"клх Бомнак, ул. Ивановская, д. 6/6 к. 23, 913577","клх Бомнак, ул. Ивановская, д. 6/6 к. 23, 913577","д. Хасавюрт, ш. Куйбышева, д. 3/1 к. 4, 645257",55.694161,37.613096,Машиностроение,Сборка оборудования,Переработка,Сервис,Есть,28.41,Производство промышленной продукции,16.1,Производство оборудования,"ООО «УгрозаПром» — промышленное предприятие, действующее с 2023 года.",Малое,Малое,Среднее,Среднее,Малое,Малое,2023-09-14,Рябова Никодим Антоновна,"НПО «Терентьев, Дроздова и Костин»",3546395964,Филиал,+7 (394) 312-90-87,mechislavsobolev@ooo.com,Велимир Всеволодович Юдин,+7 (394) 312-90-87,Одинцова Ирина Валентиновна,https://fomicheva.biz,mechislavsobolev@ooo.com,Получала грант,Нет,Подмосковье,Да,Да,Среднее,Да,Стабильный рост выручки и численности персонала,1183083,1285882,1191756,1158601,1343217,1350059,1160749,131424,146711,170832,120422,99235,57967,56793,50,46,50,52,59,49,48,54,59,54,58,59,62,53,1007700,992907,932395,1113965,1121206,972526,1092489,530,557,564,540,614,514,539,60171,54915,63213,64056,63721,65684,73564,153922,58756,96517,94783,79384,55618,80186
64,1530443469,ООО «НажатьПром»,Общество с ограниченной ответственностью «НажатьПром»»,В процессе ликвидации,Проверка,В реестре,2019-05-10,"п. Чикола, ш. Ленина, д. 97 стр. 965, 392827","п. Чикола, ш. Ленина, д. 97 стр. 965, 392827","клх Стерлитамак, ул. Новосельская, д. 4/2 к. 6, 038567",55.814564,37.604283,Деревообработка,Комплектующие,Логистика,Сервис,Нет,16.1,Производство промышленной продукции,20.13,Производство оборудования,"ООО «НажатьПром» — промышленное предприятие, действующее с 2010 года.",Малое,Крупное,Крупное,Крупное,Среднее,Среднее,2010-01-22,Комарова Евсей Евсеевич,"РАО «Федоров, Маркова и Юдин»",6070949719,Холдинг,89693084887,rozhkovadam@dmitrieva.edu,Меркушев Спиридон Елизарович,89693084887,Иванна Харитоновна Некрасова,https://mostotrest.org,rozhkovadam@dmitrieva.edu,Получала субсидию,Нет,Подмосковье,Да,Нет,Микро,Да,Стабильный рост выручки и численности персонала,2536878,2530105,2365374,2921423,2899636,3171025,3037471,236048,214654,354844,212392,274026,349307,473508,122,143,162,174,161,184,191,132,114,140,119,133,128,133,2448785,2632723,3090676,2930304,2653365,2573829,2879003,1259,1290,1301,1435,1193,1187,1095,141287,121752,151336,142111,156350,144877,131321,320268,156500,235775,305295,246801,198218,160665
65,9544275861,ООО «СынокПром»,Общество с ограниченной ответственностью «СынокПром»»,Действует,Активна,Не в реестре,2023-07-04,"п. Казань, наб. Стадионная, д. 66, 777392","п. Казань, наб. Стадионная, д. 66, 777392","п. Балашиха, пер. Приморский, д. 18, 024286",55.789951,37.523657,Текстильная промышленность,Комплектующие,Логистика,Ремонт деталей,Нет,13.2,Производство промышленной продукции,25.62,Производство оборудования,"ООО «СынокПром» — промышленное предприятие, действующее с 2022 года.",Крупное,Крупное,Среднее,Крупное,Крупное,Среднее,2022-07-05,Шестаков Назар Ивановна,Силина Лтд,1135749072,Холдинг,8 779 082 7231,miheevipati@ao.edu,Шашкова Ия Артемовна,8 779 082 7231,Кошелев Савва Харлампьевич,https://ip.edu,miheevipati@ao.edu,Не получала,Нет,Другой регион,Нет,Да,Крупное,Нет,Стабильный рост выручки и численности персонала,3983878,4118864,3890591,4546434,4539086,4972157,4889739,600538,234724,336221,281688,300859,196231,212290,188,196,213,231,197,231,216,180,170,175,182,183,160,186,4071105,3966739,4114315,3742793,3708858,3506657,3356323,1829,1666,1538,1564,1560,1312,1373,194179,172015,152321,165507,175351,193697,177983,267080,230794,241756,603236,417992,366934,337692
66,4095681282,ООО «СоветоватьПром»,Общество с ограниченной ответственностью «СоветоватьПром»»,Действует,Проверка,Не в реестре,2021-08-25,"д. Владикавказ, пр. Партизанский, д. 317, 686508","д. Владикавказ, пр. Партизанский, д. 317, 686508","ст. Омск, пер. Гражданский, д. 3/5 к. 4/2, 986430",55.759811,37.649197,Машиностроение,Комплектующие,Логистика,Транспортировка,Нет,13.2,Производство промышленной продукции,13.2,Производство оборудования,"ООО «СоветоватьПром» — промышленное предприятие, действующее с 2022 года.",Крупное,Среднее,Крупное,Среднее,Среднее,Малое,2022-10-15,Быков Остап Валериевна,X5 Retail Group,1093951990,Холдинг,8 (991) 366-21-03,efremovsokrat@ao.biz,Ковалева Регина Александровна,8 (991) 366-21-03,Елисей Жанович Исаков,https://oao.edu,efremovsokrat@ao.biz,Получала грант,Да,Подмосковье,Да,Да,Малое,Нет,Стабильный рост выручки и численности персонала,1184867,1322205,1116681,1220435,1172991,1187917,1160301,73205,63080,145826,146797,116693,112663,63243,57,56,61,67,64,76,73,61,52,58,47,48,55,58,1059198,1290525,1326735,1330240,1397159,1438492,1688858,584,532,548,593,544,553,473,54290,60239,52277,54354,53381,52257,52853,131434,59178,122613,90657,79453,43205,106123
67,5150487885,ООО «ПотянутьсяПром»,Общество с ограниченной ответственностью «ПотянутьсяПром»»,В процессе ликвидации,Проверка,В реестре,2024-11-04,"клх Джубга, ул. Угловая, д. 3/2 стр. 78, 890260","клх Джубга, ул. Угловая, д. 3/2 стр. 78, 890260","с. Шатура, ул. Вишневая, д. 4 к. 2, 669849",55.769742,37.779002,Машиностроение,Производство деталей,Ремонт,Транспортировка,Нет,25.62,Производство промышленной продукции,20.13,Производство оборудования,"ООО «ПотянутьсяПром» — промышленное предприятие, действующее с 2015 года.",Среднее,Среднее,Крупное,Крупное,Крупное,Малое,2015-06-08,Соболев Герман Федотович,ОАО «Нестерова»,8267261623,Холдинг,+7 (688) 725-8874,terenti69@zao.info,Горшков Порфирий Августович,+7 (688) 725-8874,Прохоров Спартак Ермилович,https://yug-nefteprodukt.biz,terenti69@zao.info,Получала субсидию,Да,Москва,Да,Да,Среднее,Да,Стабильный рост выручки и численности персонала,4721148,4943660,4420475,4234713,4070494,4051848,4854404,687108,462826,696049,478515,585855,504161,382014,218,268,234,216,231,223,265,209,234,246,252,275,269,261,4946765,4094192,3991547,4016081,4024088,4179571,4409938,2262,2275,2301,2324,2339,2520,2029,236883,255815,237836,247952,239429,249567,272664,610231,408151,335678,738429,559940,315172,402311
